epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2198,1.46287,2.53361,1.40915,0.82369,0.60544,0.68797,0.36914,1.3824,3.16084,1.3295,0.000368809,0.000368809,0.000368809
2,154.164,1.41586,1.65686,1.35708,0.81121,0.65097,0.70107,0.39099,1.39064,2.21671,1.3608,0.000724508,0.000724508,0.000724508
3,227.949,1.43909,1.41039,1.3708,0.6856,0.6315,0.6789,0.38497,1.42647,1.91655,1.40747,0.00106554,0.00106554,0.00106554
4,299.535,1.44593,1.29043,1.36988,0.75146,0.69454,0.73823,0.41228,1.38647,1.565,1.34658,0.00104501,0.00104501,0.00104501
5,374.268,1.40997,1.1822,1.34286,0.75984,0.7203,0.75894,0.42391,1.35745,1.69693,1.33675,0.00102301,0.00102301,0.00102301
6,449.673,1.39652,1.11854,1.31874,0.7887,0.77457,0.81235,0.4726,1.29584,1.34963,1.28112,0.00100101,0.00100101,0.00100101
7,524.13,1.35769,1.04588,1.30167,0.82513,0.73448,0.82182,0.47394,1.33007,1.23736,1.30668,0.000979013,0.000979013,0.000979013
8,599.267,1.3498,1.02337,1.30391,0.76461,0.80729,0.83905,0.48615,1.3041,1.13592,1.28336,0.000957015,0.000957015,0.000957015
9,675.115,1.32689,0.98014,1.28599,0.78707,0.7732,0.82263,0.48387,1.28808,1.13305,1.27572,0.000935018,0.000935018,0.000935018
10,747.069,1.32466,0.97541,1.28269,0.86763,0.81482,0.86488,0.51834,1.24977,1.04071,1.23765,0.00091302,0.00091302,0.00091302
11,819.308,1.30994,0.95801,1.2768,0.8353,0.80549,0.87118,0.5182,1.24288,1.07575,1.23103,0.000891022,0.000891022,0.000891022
12,890.483,1.29115,0.92498,1.26202,0.88702,0.80799,0.86528,0.51815,1.25793,1.10098,1.23642,0.000869024,0.000869024,0.000869024
13,961.09,1.28295,0.8971,1.25781,0.82448,0.82497,0.8537,0.51384,1.23267,0.94676,1.23625,0.000847026,0.000847026,0.000847026
14,1032.33,1.27598,0.90138,1.25735,0.87995,0.81849,0.87492,0.52303,1.22086,0.87303,1.22448,0.000825029,0.000825029,0.000825029
15,1103.74,1.28092,0.86004,1.25443,0.86011,0.81478,0.86156,0.51806,1.20986,0.89034,1.2032,0.000803031,0.000803031,0.000803031
16,1173.99,1.25264,0.85606,1.24131,0.89678,0.82681,0.8829,0.53804,1.20536,0.84751,1.21143,0.000781033,0.000781033,0.000781033
17,1246.13,1.24707,0.8349,1.23839,0.88275,0.80505,0.87616,0.53157,1.19884,0.82252,1.1987,0.000759035,0.000759035,0.000759035
